key,value
name,Demo Bistro
tagline,"Fresh Flavours, Island Vibes"
description,"Welcome to Demo Bistro — a cozy spot serving fresh, locally-inspired dishes made with care. From hearty breakfasts to candlelit dinners, every plate celebrates the best of Caribbean produce. Pull up a chair, enjoy the atmosphere, and let us take care of the rest."
category,restaurant
phone,+1-473-555-0200
email,hello@demobistro.com
website,https://demobistro.com
address,"Unit 5, Exit 473, Maurice Bishop Highway, Grand Anse, St. George's, Grenada"
hours,"Mon–Thu 11am–10pm | Fri–Sat 10am–11pm | Sun 11am–9pm"
accent_color,#2D6A4F
hero_image,
logo_image,
facebook,#
instagram,#
